Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity,CSRD_Impl
ENERGY LAB,I:ELAB,ELAB.MI^A20,20052014,2014,Equities,Milan,Italy,Euro,Alternative Energy,Energy Lab,Dead,1.0
ENERGYMIXX,D:EM2,EM2.F^J10,27062007,2007,Equities,Deutsche Boerse AG,Germany,Euro,Electricity,Energymixx,Dead,0.0
ENEXOMA,D:EK3,EK3G.F^L12,7052009,2009,Equities,Deutsche Boerse AG,Germany,Euro,Software and Computer Services,Enexoma,Dead,0.0
ENICHEM,504852,-,3101989,1989,Equities,Milan,Italy,Italian Lira,Unclassified,Enichem,Dead,1.0
ENICHEM AUGUSTA,I:EA,-,19091988,1988,Equities,Milan,Italy,Italian Lira,Chemicals,Enichem Augusta,Dead,1.0
ENTRIUM DIRECT BANKERS,D:EDB,-,17091999,1999,Equities,Deutsche Boerse AG,Germany,Euro,Banks,Entrium Direct Bankers,Dead,0.0
ENTRIUM DIRECT BNK.(XET),D:EDBX,-,21091999,1999,Equities,Xetra,Germany,Euro,Banks,Entrium Direct Bankers (XETRA),Dead,0.0
ENVITEC,G:ENVI,EBNr.AT^K17,3032008,2008,Equities,Athens,Greece,Euro,Waste and Disposal Services,Envitec,Dead,0.0
EON TISZANTULI ARAMSZOLG ATO,HN:ETI,-,15021999,1999,Equities,Budapest,Hungary,Hungarian Forint,Electricity,EON Tiszantuli Aramszolg ATO,Dead,1.0
EPCOS,D:EP,EPCGn.F^J09,14101999,1999,Equities,Deutsche Boerse AG,Germany,Euro,Technology Hardware and Equipment,Epcos,Dead,0.0
EPIGENOMICS K (XET),D:ECXX,ECXk.DE^G24,19072004,2004,Equities,Xetra,Germany,Euro,Investment Banking and Brokerage Services,Epigenomics K (XETRA),Dead,0.0
ERBA FUR TEXTIL.,929543,-,1011973,1973,Equities,Deutsche Boerse AG,Germany,German Mark,Unquoted equities,Erba FUR Textilindustrie,Dead,0.0
ERGAS,G:ERGS,EGAr.AT^F09,23061994,1994,Equities,Athens,Greece,Euro,Construction and Materials,Ergas,Dead,0.0
ERGO BANK,G:ERGA,-,4011988,1988,Equities,Athens,Greece,Greek Drachma,Banks,Ergo Bank,Dead,0.0
ERGO PREVIDENZA,I:BV,EGPR.MI^D09,20071998,1998,Equities,Milan,Italy,Euro,Life Insurance,Ergo Previdenza,Dead,1.0
ERGODATA,G:PLER,-,29031990,1990,Equities,Athens,Greece,Euro,Real Estate Investment and Services,Ergodata,Dead,0.0
ERLUS,D:DZE,DZEG.MU^I20,26091988,1988,Equities,Munich,Germany,Euro,Construction and Materials,Erlus,Dead,0.0
ERMN.COMM.& CNTL. (XET) TECH.,D:EUCAX,EUCAn.DE^A20,13101998,1998,Equities,Xetra,Germany,Euro,Electronic and Electrical Equipment,Euromicron Communication and Control (XETRA) Technology,Dead,0.0
ERSTE KULMBACHER,936906,-,1011973,1973,Equities,Munich,Germany,German Mark,Beverages,Erste Kulmbacher,Dead,0.0
ES ENERGIE SYSTEME (XET),D:5BMX,-,16042008,2008,Equities,Xetra,Germany,Euro,Investment Banking and Brokerage Services,ES Energie Systeme (XETRA),Dead,0.0
ESCOM,D:ECM,ECMG.F^A11,13091994,1994,Equities,Deutsche Boerse AG,Germany,Euro,Retailers,Escom,Dead,0.0
ESCOM (XET),D:ECMX,-,15022000,2000,Equities,Xetra,Germany,Euro,Retailers,Escom (XETRA),Dead,0.0
ESKJA HF,IC:ESK,-,2092003,2003,Equities,NASDAQ OMX Iceland,Iceland,Icelandic Krona,Food Producers,Eskja HF,Dead,
ESKY EXCHANGE,D:EK3@,-,7062007,2007,Equities,Deutsche Boerse AG,Germany,Euro,Industrial Support Services,Esky Exchange,Dead,0.0
ESL.INVT.GMBH & CO.(XET) KGAA,D:ES3X,-,11042008,2008,Equities,Xetra,Germany,Euro,Investment Banking and Brokerage Services,Essential Invest GMBH and Company (XETRA) KGaA,Dead,0.0
ESL.INVT.GMBH & CO.KGAA,51897R,ES3G.F^G11,11042008,2008,Equities,Deutsche Boerse AG,Germany,Euro,Investment Banking and Brokerage Services,Essential Invest GMBH and Company KGaA,Dead,0.0
ETBA BANK,276612,-,11012000,2000,Equities,Athens,Greece,Euro,Banks,Etba Bank,Dead,0.0
ETBA LEASING,G:ETLI,-,16071990,1990,Equities,Athens,Greece,Euro,Real Estate Investment and Services,Etba Leasing,Dead,0.0
ETELEON E-SOLUTIONS,41351H,E9EG.BE^H11,15112006,2006,Equities,Berlin,Germany,Euro,Telecommunications Service Providers,Eteleon E-Solutions,Dead,0.0
ETHNIKI GREEK GEN IN CO,G:EEGA,-,5011988,1988,Equities,Athens,Greece,Euro,Non-life Insurance,Ethniki Greek General in Company,Dead,0.0
ETIENNE AIGNER,945528,AIGG.F^L12,21121983,1983,Equities,Deutsche Boerse AG,Germany,Euro,Personal Goods,Etienne Aigner,Dead,0.0
ETIENNE AIGNER (XET),D:AIGX,-,14062000,2000,Equities,Xetra,Germany,Euro,Personal Goods,Etienne Aigner (XETRA),Dead,0.0
ETOILE,LX:ETO,-,22081997,1997,Equities,Luxembourg,Luxembourg,Euro,Real Estate Investment Trusts,Etoile,Dead,0.0
EUR ENERGY ASSETS (AMS),H:EEA,-,17062008,2008,Equities,Euronext.liffe Amsterdam,Luxembourg,Euro,Investment Banking and Brokerage Services,European Energy Assets (AMS),Dead,0.0
EURO AUDACES,LX:EUA,-,20071995,1995,Equities,Luxembourg,Luxembourg,Euro,General Industrials,Euro Audaces,Dead,0.0
EURO COSMETIC,I:EURC,EC.MI^L21,6112020,2020,Equities,Milan,Italy,Euro,"Personal Care, Drug and Grocery Stores",Euro Cosmetic,Dead,1.0
EURO-KAI KGAA STAMMAKTIE,866851,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Euro-Kai KGaA Stammaktie,Dead,0.0
EUROBIKE (XET),D:EUBX,-,28101998,1998,Equities,Xetra,Germany,Euro,Retailers,Eurobike (XETRA),Dead,0.0
EUROCASTLE INV. (XET),D:EUIX,-,20062007,2007,Equities,Xetra,Germany,Euro,Investment Banking and Brokerage Services,Eurocastle Investment (XETRA),Dead,0.0
EUROCASTLE INVESTMENT,D:EUI1,EUI1z.F^B12,20062007,2007,Equities,Deutsche Boerse AG,Germany,Euro,Investment Banking and Brokerage Services,Eurocastle Investment,Dead,0.0
EUROGRAPHICS,D:E2G,E2Gn.MU^G18,5122014,2014,Equities,Munich,Germany,Euro,Retailers,Eurographics,Dead,0.0
EUROHYPO,929109,-,1011973,1973,Equities,Deutsche Boerse AG,Germany,Euro,Banks,Eurohypo,Dead,0.0
EUROHYPO (XET),D:FHYX,-,23121999,1999,Equities,Xetra,Germany,Euro,Banks,Eurohypo (XETRA),Dead,0.0
EUROHYPO (XET),D:NHYX,-,24081999,1999,Equities,Xetra,Germany,Euro,Banks,Eurohypo (XETRA),Dead,0.0
EUROMED,D:EUD,EUDG.F^D11,15061999,1999,Equities,Deutsche Boerse AG,Germany,Euro,Health Care Providers,Euromed,Dead,0.0
EUROMICRON,D:EUCJ,EUCGe.F^F10,7052010,2010,Equities,Deutsche Boerse AG,Germany,Euro,Electronic and Electrical Equipment,Euromicron,Dead,0.0
