Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity
TELENORMA GMBH,866953,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Telenorma GMBH,Dead
TELEPLAN INTL. (XET),D:TPLX,-,24111998,1998,Equities,Xetra,Germany,Euro,Software and Computer Services,Teleplan International (XETRA),Dead
TELESENSKSCL (XET),D:TLZX,-,21032000,2000,Equities,Xetra,Germany,Euro,Telecommunications Service Providers,Telesenskscl (XETRA),Dead
TERMINALS VECMILGR,LV:TEV,-,1011999,1999,Equities,NASDAQ OMX Riga,Latvia,Latvian Lat,Unclassified,Terminals Vecmilgr,Dead
TERRAIN GESELL.TELTOW,D:TER,-,2042002,2002,Equities,Stuttgart,Germany,Euro,General Industrials,Terrain Gesellschaft Teltow,Dead
TEST KUMAR PRASHANTH,HN:PR@,-,4112005,2005,Equities,Budapest,Hungary,Hungarian Forint,Unclassified,Test Kumar Prashanth,Dead
TGE MARINE (DI),51968W,TGET.L^L09,14052008,2008,Equities,London,Germany,United Kingdom Pound,Industrial Engineering,TGE Marine (Depository Interest),Dead
THENERGO SUST.ENRG.(XET),D:ENOX,-,8022006,2006,Equities,Xetra,Germany,Euro,Electricity,Thenergo Sustainable Energies (XETRA),Dead
THERMOSHIELD,D:TSD,TSD.F^K11,24052007,2007,Equities,Deutsche Boerse AG,Germany,Euro,Investment Banking and Brokerage Services,Thermoshield,Dead
THIRDFORCE (IEX),QPO,THF.I^A10,14061999,1999,Equities,Dublin,Ireland,Euro,Industrial Support Services,Thirdforce (IEX),Dead
THORMODUR RAMMI SAEBERG,IC:THR,-,9042001,2001,Equities,NASDAQ OMX Iceland,Iceland,Icelandic Krona,Food Producers,Thormodur Rammi Saeberg,Dead
THUEGA,929117,-,26091988,1988,Equities,Deutsche Boerse AG,Germany,Euro,"Gas, Water and Multi-utilities",Thuega,Dead
THYSSEN HANDELSUNION,866909,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Thyssen Handelsunion,Dead
THYSSEN INDUSTRIE,D:RST,-,26091988,1988,Equities,Deutsche Boerse AG,Germany,Euro,Industrial Metals and Mining,Thyssen Industrie,Dead
TINTBRIGHT (XET),D:TBRX,TBRG.DE^B15,27012014,2014,Equities,Xetra,Germany,Euro,Personal Goods,Tintbright (XETRA),Dead
TOP-WETTEN (XET),D:SOSX,-,4052004,2004,Equities,Xetra,Germany,Euro,Travel and Leisure,Top-Wetten (XETRA),Dead
TOYS INTERNATIONAL,D:TY40,-,18111999,1999,Equities,Deutsche Boerse AG,Germany,Euro,Retailers,Toys International,Dead
TRADING HOUSE NET (XET),D:TDUX,-,13062003,2003,Equities,Xetra,Germany,Euro,Investment Banking and Brokerage Services,Trading House Net (XETRA),Dead
TRANSRADIO SENDER (XET) SYS.,D:TFUX,-,30032004,2004,Equities,Xetra,Germany,Euro,Electronic and Electrical Equipment,Transradio Sender (XETRA) Systems,Dead
TRAUB,729175,-,16051986,1986,Equities,Deutsche Boerse AG,Germany,German Mark,Industrial Engineering,Traub,Dead
TRINYCIAI,LT:TRY,-,22071998,1998,Equities,Lithuania,Lithuania,Lithuanian Lita,Personal Goods,Trinyciai,Dead
TRIPCOVICH,I:TRI,-,2011986,1986,Equities,Milan,Italy,Italian Lira,Industrial Transportation,Tripcovich,Dead
